
在位置 8400 发现不同:  文件1: 161.744 文件2: 167.803
在位置 8401 发现不同:  文件1: 14.3877 文件2: 14.5353
在位置 8402 发现不同:  文件1: 58.7568 文件2: 36.1344
在位置 8403 发现不同:  文件1: 19.0547 文件2: 28.8388
在位置 8484 发现不同:  文件1: 173.327 文件2: 169.478
在位置 8485 发现不同:  文件1: -14.8258 文件2: 15.5843
在位置 8486 发现不同:  文件1: 150.402 文件2: 40.8601
在位置 8487 发现不同:  文件1: 128.96 文件2: 30.8907
在位置 8568 发现不同:  文件1: 183.856 文件2: 178.744
在位置 8569 发现不同:  文件1: 29.3321 文件2: 16.4325
在位置 8570 发现不同:  文件1: 16.2363 文件2: 54.7845
在位置 8571 发现不同:  文件1: 115.827 文件2: 32.4579
在位置 8652 发现不同:  文件1: 156.711 文件2: 191.95
在位置 8653 发现不同:  文件1: 10.5094 文件2: 14.053
在位置 8654 发现不同:  文件1: 119.732 文件2: 66.2182
在位置 8655 发现不同:  文件1: 152.346 文件2: 28.0427
在位置 8736 发现不同:  文件1: 199.577 文件2: 195.769
在位置 8737 发现不同:  文件1: 8.43413 文件2: 11.7043
在位置 8738 发现不同:  文件1: 115.26 文件2: 65.343
在位置 8739 发现不同:  文件1: 16.6771 文件2: 23.0533
在位置 8820 发现不同:  文件1: 199.192 文件2: 203.966
在位置 8821 发现不同:  文件1: 8.57788 文件2: 9.71413
在位置 8822 发现不同:  文件1: 151.134 文件2: 73.6937
在位置 8823 发现不同:  文件1: 162.45 文件2: 18.8241
在位置 8904 发现不同:  文件1: 208.132 文件2: 211.248
在位置 8905 发现不同:  文件1: -2.10143 文件2: 9.00291
在位置 8906 发现不同:  文件1: 16.3295 文件2: 87.5083
在位置 8907 发现不同:  文件1: 60.0037 文件2: 17.6064
在位置 8988 发现不同:  文件1: 212.909 文件2: 216.872
在位置 8989 发现不同:  文件1: 15.5676 文件2: 8.66643
在位置 8990 发现不同:  文件1: 183.529 文件2: 92.1639
在位置 8991 发现不同:  文件1: 145.389 文件2: 17.1346
在位置 9072 发现不同:  文件1: 227.556 文件2: 229.137
